Company Name,Job Title,Job Description
CME Group,Senior Software Engineer,"Come join the tech team that Insider Pro has named “Best Places to Work in IT” 4 years in a row! Our global technology team is looking for innovative software engineers as we continue to develop advanced high performing applications that enable and support complex financial markets. Last year Google invested $1B in a strategic partnership to accelerate CME Group’s move to the cloud. We are looking for experienced professionals that want to learn GCP as we continue to transform how global derivatives markets operate with technology.
The environment is one of respect; the culture is one where people care. Individuals can be their true self and are encouraged to speak up no matter of their seniority. It’s fast-paced but fun with a team who always make time for each other professionally and on a personal level. And we’re on a journey of change so if change excites you CME Group could be a great place to be.
Required experience
5+ years Core Java Development experience
Working knowledge in SQL Query and report writing
Experience with Linux OS
Strong communication and leadership skills
Familiarity with cloud platforms such as GCP AWS or Azure"
Sandia National Laboratories,Software Engineer (Early/mid-career),"Are you passionate about your work and looking for opportunities to apply your experience to explore innovative solutions? Join a dynamic team that solves significant issues and challenges for our nation's security!
We are seeking an early to mid-career Software Engineer (R&D Computer Science) to assist with high consequence national security capabilities supporting several US government customers. Your work will have a direct impact to our war-fighters by maintaining national security and generating tangible results that will continually reinforce your commitment to the team and cultivate your creativity.
On any given day you may be called on to:
Use your skills in software system architecture software system implementation technical documentation unit and integration testing reliability and performance assessment and/or systematic technology insertion.
Partner with Software Engineers System Engineers and management to implement solutions to customer needs.
Develop code and unit tests and develop software tools and infrastructure to support the software development team.
Provide on-call support for software discrepancy resolution in our production environment work on the development and execution of test plans and procedures perform system integration and testing and write software documentation and reports.
Develop and pursue partnerships with internal and external technical specialists in information technology software and communications to build creative technical designs to meet requirements and the needs of our end users
Qualifications We Require
Bachelor's degree in a relevant STEM discipline (e.g. electrical computer and software engineering related fields) plus 1 year of experience; or equivalent combination of relevant education and experience
Demonstrated experience with Java Typescript or Javascript
Ability to travel up to 25% of the time
Ability to acquire DOE Q and SCI security clearances
Qualifications We Desire
Proven experience with Tomcat/Glassfish – JSP HTML5/CSS JQuery Spring MVC.
Proven experience with Test-driven development and test methodologies.
Experience with any of the following: Apache Karaf Apache Camel Mina/Netty OSGI JMX JDBC Apache Aries Log4J2 Apache CXF.
Proven experience with Relational Databases (e.g. Oracle PL/SQL SQLite) and Not Only SQL (e.g. NoSQL Cassandra).
Existing DOE Q DOD Top Secret and/or SCI clearances (or equivalent)."
Southwest Airlines,Software Engineer,"Design write program code test document and implement functionally appropriate technically sound and well-integrated application systems in accordance with Customer requirements organizational methodologies and standards. Respond to production problems and implement immediate resolution efforts across technology areas.
As a Software Engineer you can expect:
Fly for free as a privilege on any open seat on all Southwest flights—your eligible dependents too.
Up to a 9.3% 401(k) Company match dollar for dollar per paycheck.*
Potential for annual ProfitSharing contribution toward retirement - when Southwest profits you profit.**
Explore more Benefits you’ll love: swa.is/benefits
There is limited group of states or localities ineligible for Employees to regularly perform their work off-site. Those ineligible locations are Alaska Delaware New Jersey North Dakota South Dakota Vermont West Virginia and Wyoming.
For eligible Leadership and individual contributor roles additional bonus opportunities are available and awarded at the discretion of the Company.
​​Southwest Airlines is an Equal Opportunity Employer. We continue to look for opportunities to reflect the communities we serve and welcome applicants with diverse thoughts backgrounds and experiences. *401(k) match contributions are subject to the plan’s vesting schedule and applicable IRS limits **ProfitSharing contributions are subject to plan’s vesting schedule and are made at the discretion of the Company
Responsibilities
Apply knowledge and skills of software development and testing effectively to solve a range of problems
Work alongside other engineers on the team to elevate technology and consistently apply best practices
Collaborate closely with customers and cross-functional departments to communicate project statuses and proposals
Document each aspect of a system or application as a reference for future upgrades and maintenance
Determine and assess the needs of the user and then create software to meet the requirements
Identify and resolve issues that arise during the design testing and maintenance processes using problem-solving skills
Work in an agile environment to deliver high-quality software
Prepare and install solutions by determining and designing system specifications standards and programming
Mentor junior members on the team
Improve and expand technical capabilities by continuing their education thru reading workshops conferences and/or communities of practice
May perform other job duties as directed by Employee's Leaders
Knowledge Skills and Abilities
Intermediate knowledge of software development methodologies practices concepts and technologies obtained through formal training and / or work experience
Ability to demonstrate consistent knowledge application skills of software development and testing to solve a range of problems
Intermediate knowledge of at least one required programming language
Ability to partner communicate and negotiate with various Technology or partner Teams
Ability to analyze and manage large complex and vague Business or technical problems articulating the problem or root cause and translating the analysis into viable solution recommendations
Ability to take on multiple assignments whether administrative or project related while maintaining a successful level of completion in all responsible work
Ability to mentor others to do the same
Ability to develop present and effectively communicate ideas and strategies to a variety of audiences
Pay Rate:
Competitive market salary of at least $99400 per year to $124300 per year depending on qualifications and experience. Pay amount does not guarantee employment for any particular period of time .
For eligible Leadership and individual contributor roles opportunities for additional incentive compensation awarded at discretion of the Company.
Education
Required: High School Diploma or GED
Required: Bachelor's Degree or equivalent work experience; BS Business Engineering Computer Science or Information Systems or equivalent formal training
Experience
Required: Intermediate-level experience fully functioning broad knowledge in software engineering
Licensing/Certification
N/A
Physical Abilities
Ability to perform work duties from [limited space work station/desk/office area] for extended periods of time
Ability to communicate and interact with others in the English language to meet the demands of the job
Ability to use a computer and other office productivity tools with sufficient speed and accuracy to meet the demands of the job
Other Qualifications
Must maintain a well-groomed appearance per Company appearance standards as described in established guidelines
Must be a U.S. citizen or have authorization to work in the United States as defined by the Immigration Reform Act of 1986
Must be at least 18 years of age
Must be able to comply with Company attendance standards as described in established guidelines
Southwest Airlines is an Equal Opportunity Employer.
Please print/save this job description because it won't be available after you apply."
Amazon.com Services LLC,iOS Software Engineer,"1+ years of experience contributing to the system design or architecture (architecture design patterns reliability and scaling) of new and current systems.
2+ years of non-internship professional software development experience
Programming experience with at least one software programming language.
Job summary This is a Software Developer role at Amazon Pharmacy. Amazon Pharmacy is a full service online pharmacy that sorts medication by the dose and provides convenient multi-dose packets vials and bulk medications to a patient's door. We believe in the best possible pharmacy experience for our customers. Our custom software powers our many clinical and operations specialists who work on our customers' behalf every day. As a member of our engineering team you will be at the intersection of the physical and digital world. You will be solving interesting and complex problems at every layer of the stack and you will be helping to make a real difference for our end consumers. You will have the opportunity to work cross-functionally with engineering product clinical / distribution and customer care teams. You will be expected to deliver testable maintainable code to support our many ongoing initiatives. Additionally you will be responsible for participating in design discussions code review and communicating with stakeholders. About the team Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures and we’re building an environment that celebrates knowledge sharing and mentorship. Our senior members enjoy one-on-one mentoring and thorough but kind code reviews. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded engineer and enable them to take on more complex tasks in the future Here at Amazon we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups reaching 40000 employees in over 190 chapters globally. We have innovative benefit offerings and we host annual and ongoing learning experiences including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles which remind team members to seek diverse perspectives learn and be curious and earn trust Our team also puts a high value on work-life balance. Striking a healthy balance between your personal and professional life is crucial to your happiness and success here which is why we aren’t focused on how many hours you spend at work or online. Instead we’re happy to offer a flexible schedule so you can have a more productive and well-balanced life—both in and outside of work.
Experience building complex software systems that have been successfully delivered to customers
Knowledge of professional software engineering practices & best practices for the full software development life cycle including coding standards code reviews source control management build processes testing and operations
Ability to take a project from scoping requirements through actual launch of the project
Experience in communicating with users other technical teams and management to collect requirements describe software product features and technical designs."
Webster & Webster Associates,Embedded Software Engineer - Remote Position,"Global Security company is seeking an experienced Embedded Software Engineer. Ideal candidates are technically strong take pride in tackling challenges and get excited about owning critical services.
REQUIREMENTS
Extensive experience developing in embedded C programming language
Experience with several operating systems (Linux Embedded Linux Windows etc.)
Real-time operating system experience (QNX VxWorks ThreadX FreeRTOS MQX etc.)
Must be able to work on US government engagements
Bachelor's degree in Computer Science Electrical Engineering or related field of study
PREFERRED
Networking and security protocols (TCP/IP UDP HTTP / HTTPS IPSEC SSH SMTP SFTP SSL OpenSSL TLS etc.)
Android / iOS
Hardware optimization
Assembly language"
Workforce Opportunity Services,Early Career Software Developer,"Entry Level Software Development
Training and Employment Program
Join our program. Change your life.
Program Start Date: January 17th 2023
Workforce Opportunity Services (WOS) is a leading 501(c)(3) nonprofit committed to developing the skills of untapped talent from historically underrepresented communities through partnerships with organizations dedicated to diversifying their workforce.
We celebrate diversity and are committed to creating an inclusive environment for all employees and ensuring a workplace free from all forms of discrimination or harassment.
We strongly encourage women people of color people from the LGBTQIA community veterans and members of ethnic minorities to apply!
Overview:
This program provides NO COST comprehensive training to highly motivated individuals. Upon successful completion of the program you will receive customized training followed by Full-Time employment with our partner.
This unique work-study opportunity differs from the typical job. Our solution for those who are ready will put you on the right personal academic and professional path while providing the necessary support and mentorship to help keep you there.
This program will focus on Software Development.
Due to the accelerated training timeline and condensed curriculum the successful candidate will have prior knowledge in computer science.
Candidate Profile:
High School Diploma/GED
Motivated young adult passionate about learning new technologies
Some knowledge/background in computer science or related field
Availability to commit to a full-time schedule (Mon-Fri/9am-5pm) beginning January 2023"
Sephora,Software Engineer,"As a Software Engineer Supply Chain and Web Apps Systems you will work on our Supply Chain Systems & Web Apps in support of our DC network to identify resolve and provide root cause resolution to production systems/Issues fixing small defects working on continuous improvement projects and testing efforts. Reporting to the Manager of Logistics Production Engineering you will have the opportunity to work on all warehouse management systems integrations MHE and home grown Web apps.
Take ownership of efforts to transition new applications to the WMS Production Engineering Team coordinating with respective Development Teams to ensure code architecture and solution is understood and able to support with in a month of going live.
Leverage extensive Logistics end-to-end Operational Process knowledge and automated systems knowledge (Reddwerks WES Bastian WCS Dematic WCS ProShip Parcel Shipping) to quickly resolve complex Logistics business incidents involving integration with JDA/RP and to coach team members to ensure proper and efficient service restoration
Team expert in post go-live support for critical home grown new Web applications Analytics tools built on latest tech stack of Angular REACT Looker and Databricks.
Expertise in GUI using Angular JS Angular 24568 React Redux Node JS ES6 Java Script HTML DHTML CSS SQL PL SQL XML languages
Expertise in Web app maintenance OR JDA WMS maintenance is must.
Perform detailed analysis of Logistics business opportunities to design and implement quality and innovative technical solutions both strategic and tactical
Work with Product and Development teams to understand new business requirements and ensure designed solutions support established Operational processes and initiatives – provide constructive feedback as required
Leverage expertise to mentor other Engineers on the Logistics Support Team on best methods to quickly and effectively troubleshoot and resolve both system and technical infrastructure issues
Offer expertise to actively participate in Development and Logistics Support Teams code reviews and test solutions to ensure they meet best practice specifications
Make yourself available to provide weekend coverage as required (on rotation) and to travel to other Distribution Centers approximately 3 times per year to train team members
Consistently help teammates overcome obstacles resolve blockers and complete work tasks
Demonstrate our Sephora values: Passion Innovation Expertise Balance Respect Teamwork and Initiative
We would love to hear from you if you have...
2 or more years of technical experience in one of the following:
JDA RedPrairie application development & support of Warehouse Management System (JDA v8.2 RedPrairie)
Analysis development of Object Oriented Client-Server WebBased Distributed and Enterprise Applications with JAVA/J2EE technologies
Ability to mentor guide and lead Engineers to deliver solutions on time per scope
Ability to lead projects to assume support of new systems/applications
2 or more years experience with and knowledge in some of the following:
Web front building using Angular REACT Java Java Script
Ability to write SQL scripting Shell scripting Java scripting for production maintenance.
JDA WMS 8.2 or later version with strong knowledge of WMS Tables & MOCA scripting
Moca development Data Driven Applications (DDA) WorkForce (Labor Management) Interface Web Visibility (DLx LENS)
Interfaces with Order Management and Middleware Systems using middleware like KAFKA Web Methods TCP/IP Sockets
Experience with reporting using LOOKER is desired.
Possess a working knowledge of DC operational practices and procedures and a strong understanding of Supply Chain and WMS concepts
Able to work on new technologies rolled out quickly learn and fix/rootcause.
Possess proven experience working directly and collaboratively with DC Operations building effecting relationships with personnel at all levels"
Fox Robotics,Software Engineer (General Interest),"As a software engineer at Fox Robotics you will work to build software that helps in the control and management of a self-driving forklift. If you don't see another listing that matches your background but believe you would be a good fit for the company please apply here.
Duties:
Work with other engineers as part of a close-knit team
Participate in production on-call support rotations
Travel to customer sites for field support at least 2x / year
Requirements:
B.S. or equivalent experience in computer science or a related field
Strong programming skills"
Poultry Management Systems Inc. (PMSI),Computer Systems/ Software Engineer Team Leader,"Poultry Management Systems (PMSI) based in Lowell MI (owned by Big Dutchman Inc.) applies technology to make farmers more efficient by providing customized control systems and solutions for egg production in North America. PMSI’s computerized data collection reporting and control systems help advance the egg industry while providing our staff with an environment rich in entrepreneurial innovation challenge and purpose.
PMSI is located in a new 15000 square foot facility in Lowell MI a short drive from Grand Rapids MI.
Architect write test and document new software solutions or enhancements to existing software in a maintenance capacity.
Act as the Team Lead for a local and remote development team acting as communication conduit for a globally developed solution.
Assist in the development of technical documentation software testing and Quality Assurance
Execute special New Product Development projects based on a project plan implementing them in either a lab or field environment collecting data and documenting the process.
Requirements:
Full stack web development utilizing tools such as javascript C# React Gitlab Jira MS Azure ecosystem Postgre Azure event hub (Kafka) Kubernetes for containerizing.
Proficient in the use of Wiki for documentation.
Familiarity with Scrum Agile development frameworks SAFe etc.
Ability to interact with customers professionally and confidently documenting their issues and concerns in a constructive and meaningful way.
Strong problem-solving skills
Bachelor’s degree in Computer Science Computer Engineering Electrical or Controls Engineering or equivalent experience.
Willing and able to work in an agricultural environment.
Skills/Experience desired but not necessary.
Deep learning concepts (Including edge based computing and machine vision)
Experience with Object Oriented Programming: eg. C++ Java HTML Basic
Database Architecture Delphi (Object Oriented Pascal)
Understanding of Continuous Develop Environments and associated concepts
Team skills
Daily supervision of agile development team
Work with remote teams (language and time zone flexibility required)
20% travel to Guadalajara Mexico / Vechta Germany
Poultry Management Systems offers a competitive salary and excellent benefits package including a generous allotment of Personal Time Off and a profit-sharing bonus. To learn more about PMSI and our products please visit our website at: www.pmsi.cc"
ITHAKA,Senior Software Engineer - Content Management Team,"ITHAKA's mission is to expand access to knowledge and education around the world. Our services — Artstor JSTOR Portico and Ithaka S+R — enable people everywhere to learn to grow and to overcome historical barriers to education. In carrying out our mission as employees we feel a deep responsibility to each other and our well-being and are committed to building and sustaining a diverse equitable and inclusive workplace.
Experience Level: Mid-Senior Level
The Role
We are looking for a Senior Software Engineer to join ITHAKA a highly-successful non-profit with a mission to expand access to knowledge and education around the world whose brands include Artstor Ithaka S+R JSTOR and Portico. Under the direction of the Director of Content Management Systems the Senior Software Engineer will work as part of the CM systems applications team in designing developing enhancing and supporting software/applications to support content management operations for ITHAKA. You will join a highly-collaborative team that is passionate about technology and the challenges of large-scale content and data management that is driven to develop lasting and affordable solutions to operations teams and users.
Responsibilities
As a Senior Engineer the successful candidate will have the opportunity to work on high performing high throughput multi-threaded applications and will need very good problem-solving and debugging skills and come up with strategies to solve them. You will be part of a self-organizing team where architecting designing and implementation of system enhancements are collectively determined and implemented along with QA engineers:
Architect design and implement features/enhancements as needed by the business.
Perform analysis and improve performance and throughput of the systems.
Identify bottlenecks problems and come up with strategies to resolve them.
Identify and implement solutions for automated monitoring of the systems.
Make improvements in the applications so that it needs lesser manual intervention and facilitates automated monitoring and correcting problems.
Perform system maintenance and application deployments on a regular basis.
Identify bottlenecks and problems in the architecture and suggest strategies to improve.
Experience and Skills
Bachelor's degree in Computer Science or equivalent is preferred.
Excellent demonstrated analytical and problem solving skills.
Excellent oral and written communication skills.
Demonstrated ability to work well in a small team environment.
Good aptitude to provide support to business users of the system.
Demonstrated ability to quickly learn new technologies.
Experience in designing and implementing backend applications using Java Spring Spring Boot JPA Hibernate RDBMS etc.
Experience in service based architectures including web-services service-discovery (Eureka).
Experience in working with QA Engineers enhancing QA Automation frameworks using Cucumber/Selenium etc.
Experience in working with ELK stack MongoDB Kafka."
Robotic Research,Senior Perception Software Engineer - LIDAR Focus,"Citizenship Requirements:
Due to the type of information accessible in this position it is required that applicants are a United States Citizen or a United States Person.
Office Location: Clarksburg MD
Tele-work Opportunities: On-Site
Travel Requirements: Travel may be required
Position Responsibilities:
Designing and developing state-of-the-art software to support perception awareness objection detection object classification sensor calibration methods and simultaneous multi-object tracking in the LIDAR domain
Designing and field perception algorithms in real world conditions
Supporting perception efforts across robots deployed in various locations around the world
Implementing tuning and testing novel algorithms to enhance components such as filtering segmentation object classification terrain classification clustering and tracking
Required Skills and Abilities:
Strong proficiency in programming skills (e.g. C++ python)
Experience in developing real-time robotic algorithms
Theoretical understanding of object detection segmentation probabilistic algorithms optimization and/or deep learning
Preferred Qualifications:
Hands-on experiences on autonomous vehicles or ground wheel robots especially those deployed in urban environments.
Experience with standard 3D point cloud manipulation techniques
Knowledge of state-of-the-art state estimation and tracking algorithms
Experience with any open-source deep learning frameworks
Education and Experience:
Master’s or PhD in computer science robotics or related field or with equivalent industrial experience
2+ years of similar academic and/or professional working experience"
Clerio Vision,Software Validation Engineer,"The ideal candidate will be integral to the System/Software engineering team by applying their knowledge and expertise in the validation of software and systems used to manufacture LIRIC contact lenses. Typical systems have integrated hardware and software components requiring verification and validation. We are seeking a candidate with effective scientific and workplace communication skills.
Primary job duties include:
Ø Participating in early phases of engineering projects (e.g. use cases user scenarios etc).
Ø Authoring verification and validation plans and corresponding reports.
Ø Creating test cases with test scripts to verify requirements.
Ø Maintaining the requirements-test traceability matrix.
Ø Coordinating test case execution with available test personnel and resources.
Ø Documenting actual test results and forwarding defects to the engineering team for review.
Ø Facilitating the disposition of any outstanding failed tests.
Ø Participating in Risk Management activities.
Ø Coordinating the completion of documentation in compliance with the design process.
Ø Participating in design reviews.
Ø Contributing to follow-up requirements reviews.
Ø Contributing to IOPQ protocols.
Qualifications (Required)
1. BS degree in an engineering or science discipline
2. Min 2yrs experience as a validation/verification/QA/test engineer.
3. Experience using lifecycle management tools for requirements management and/or QA test management. (e.g. JAMA Jira et al)
4. Familiarity with applicable FDA standards and regulations including:
a. 21 CFR Part 11
b. 21 CFR Part 820
c. IEC 62304
d. ISO 13485
e. ISO 14971
f. GCP and GDP
Qualifications (Desired)
1. Familiarity with software development life cycle (SDLC) models and frameworks.
2. View toward test automation.
3. Experience in medical device medical software validation.
4. Experience in clinical trial system validation."
Lighthouse Worldwide Solutions Inc,Software Engineer lll (AWS IOT Core)-,"This is an exciting opportunity for someone that likes to be creative with ideas and enjoys coding and designing systems in a team environment!
We're currently seeking a Software Engineer that has enterprise-level experience with AWS IOT Core services (such as MQTT Rules Engine Device Shadow Authentication and Authorization).
Must have an outstanding work ethic be self-motivated and have a “can do get it done” teamwork/positive attitude! Competitive wages and benefits! Great team! Great culture and benefits! Employer Matched 401 k! Sick and Vacation! Health benefits! (Vision dental medical disability and life insurance)
About the Company: Founded in 1982 Lighthouse Worldwide Solutions is the world’s leading supplier of real time contamination monitoring systems and airborne particle counters. Lighthouse offers the most complete line of contamination monitoring solutions available that include Airborne Particle Counters Microbial Samplers and Liquid Particle Counters as well as Temperature / Humidity sensors. Recently added production of air purification products and manufacturing of personal protective equipment. These solutions are now found in semiconductor pharmaceutical data storage biotechnology aerospace and defense industry plants worldwide.
About the Job and Responsibilities:
This role will help the team select technologies implement the architecture and stand-up the various environments. The support and management of all these applications will be owned by this role from the perspective of patching scalability configuring and expansion with new services as they become available.
Essential duties and responsibilities:
· Follow all safety rules and regulations all work must be done thinking “Safety First”.
· Diagnose research and remedy complex issues.
· Test features and bug fixes before handoff to QA.
· Write code that meets production requirements and company standards.
· Work with the product owner on design/feature decisions as they arise.
· Participate in design and wireframe review to provide a technical perspective on implementation.
· Good communication skills.
· Get along with others.
· Able to lift up to 40 pounds and 41+ pounds as a two-person lift.
· Recommends or performs minor remedial actions to correct problems.
· Perform other duties as assigned.
Required Skills/Abilities:
Excellent verbal and written communication skills.
Excellent interpersonal and customer service skills.
· Solid understanding of source control especially GIT.
· Experience with setup of Disaster Recovery and High Availability.
· Familiarity with the interworking of Web applications and relational databases
· Hands-on experience (4+ years) in AWS cloud-native environment with work experience in AWS IoT AWS Functions Kinesis Fargate DynamoDB RDS and Elastic Beanstalk
· Thorough understanding of ReactJS NodeJS and Python with experience in using and implementing them in commercial products
· Strong knowledge of IoT communication protocols: MQTT BACNET REST and Graph QL APIs
· Experience in using reporting frameworks like Grafana Dash AWS Quicksight etc.
· Experience with an existing IoT platform like ThingWorx Cumulocity Bosch will be an added plus.
· AWS or certifications are a plus!
· Experience with distributed multi-tier applications and event-driven architectures.
· Excellent time management skills with a proven ability to meet deadlines.
· Ability to work within a Scrum team structure and participate in associated activities.
· Ability to learn new technologies quickly and take on research opportunities.
· Ability to function well in a high-paced and at times stressful environment.
· Ability to work independently.
Education and Experience:
· Bachelor’s Degree in Computer Science or Engineering or equivalent experience.
· Minimum 4-6 years of experience.
· C#/.Net experience a plus.
· Relevant internships with related experience may be considered."
HEB,Software Engineer I,"Level Up is a cohort-based onboarding experience designed to help our newly hired digital talent get acclimated to H-E-B through networking training and volunteer opportunities Tech Talks and additional hands-on experiences. We believe Level Up will help us strengthen our world-class Digital teams right from the start while helping us build tomorrows tech and people leaders. Watch a short video about Level Up by clicking here.
Since H-E-B Digital Technology's inception we've been investing heavily in our customers' digital experience reinventing how they find inspiration from food how they make food decisions and how they ultimately get food into their homes. This is an exciting time to join H-E-B Digital-we're using the best available technologies to deliver modern engaging reliable and scalable experiences to meet the needs of our growing audience. If you enjoy taking on new challenges working in a rapidly changing environment learning new skills and applying it all to solve large and impactful business problems we want you as part of our team.
Our Partners thrive The H-E-B Way. In the Software Engineer I job that means you have a...
HEART FOR PEOPLE... you're willing to communicate with and learn from your manager and your team
HEAD FOR BUSINESS... you can follow technical guidance and understand why it's important
PASSION FOR RESULTS... you'll take the initiative to get familiar with technology / the software development process
What you'll do (Design & Development)
Learn about new technology about the digital organization and about the industry
Take technical direction to deliver well-scoped work
Code / configure maintain test and debug existing or new systems
Deliver quality features and bug fixes that align with our development process
Assist in research and fact finding to develop or modify applications
Effectively communicate (verbal listening and written) with team and manager
Provide end-to-end support to applications
Specific to Android
Build world-class native mobile applications for millions of users using a variety of tools such as Android Studio Kotlin JUnit Android Arch Components RxJava Dagger Lottie Firebase Charles Postman Zeplin and more
Specific to iOS
Build world-class native mobile applications for millions of users using a variety of tools such as Xcode Swift RxSwift XCUITest Lottie Firebase Charles Postman Zeplin and more
Who You Are
You have an ownership mentality and can operate independently
You have strong knowledge of computer science fundamentals: data structures and algorithms
You have a fundamental understanding of system development life cycles
You can code by example and take instruction well
You have a related degree or comparable formal training certification or work experience (preferred)
Specific to Software Engineer
You have working knowledge in technologies such as React Node PHP MySQL Swift Java and Python
Specific to Android
You have working knowledge in technologies such as Dagger Retrofit OkHttP and RxJava
Specific to Engineer in Test
You have working knowledge in technologies such as Selenium TestNG and Mocha
DEVS3232
Level3232"
Resource Data,Software Developer,"You didn’t get in to this field to do the same types of tasks over and over; that’s boring. Consider consulting where everything changes – the business domain the technology the team the users the client – everything. Constant change means constant challenge and opportunity. Sound exciting? It isn’t for everyone but if you thrive in this type of environment you belong at Resource Data.
Ideally you’ll have a couple years’ experience in .Net programming databases and web applications; but we’re more interested in your accomplishments than your current skills. To show you what we mean look at your first year here.
To get started you’ll get familiar with us by working on our internal business systems. This will give you a chance to get to know the business users other developers and team leads. You’ll get familiar with our internal development process and tools.
Over the first several months you’ll have a chance to show your stuff. We’ll assign you larger technical tasks where you’ll work directly with business users to understand and implement enhancements and process improvements. As your project assignments starts taking off you’ll successfully transition this work to another developer.
Over the course of the year you’ll become embedded on one or more projects. Your time may be split between working onsite with the client and working at RDI. You’ve earned a stellar reputation as a versatile and dependable team member. At the end of the first year here are some things you’ve accomplished.
You’ve built relationships with other developers in the office and engage in give-and-take technical discussions. You’ve been able to highlight some of your personal projects by leading a company-wide roundtable discussion
You’re working directly with Resource Data clients and the business users learning how consulting is a combination of customer service and software development
You are starting to understand the metrics of our consulting model and have no problem meeting those while exceeding client expectations
You can discern good business requirements from incomplete ones and raise questions early in the development process. Your involvement reduces ambiguity and contributes to better less complex solutions
You have honed your ability to identify risks and build estimates for small tasks; you are taking on responsibility for larger and more complex components of the project
Project managers love working with you because they can count on you to communicate status raise issues when appropriate and reliably complete your tasks
You’re always looking for new opportunities with clients and within Resource Data. You’re starting to get involved with technical decisions at the proposal stage through your work with the marketing department
That’s just year one. Our consultants have gone on to lead incident responses build valuable enterprise systems develop open source initiatives and run offices in new markets. Our company is built from the ground up to support long-term careers. If this is just year one imagine where you’ll be five years from now!
If you’d like to be considered for this position send us your resume and a quick summary of two significant accomplishments one related to a team project and the other an individual accomplishment. They should each be a paragraph or two and the more descriptive (fewer bullets) the better.
Starting in Alaska over 30 years ago Resource Data has grown to over 185 professionals in 5 offices across the country. We’re ready and eager to demonstrate high value results to local clients through our commitment to people technology and results.
Resource Data Inc. is an Equal Opportunity Employer. Unfortunately we are not able to provide any visa sponsorship or transfers for this position."
Diaconia LLC,Software Engineer Junior,"General Summary
Designs develops troubleshoots and analyzes software programs for computer-based systems.
Principal Duties and Responsibilities
Demonstrate knowledge of software engineering in support of the design development testing and evaluation implementation maintenance and administration of new and/or existing software systems.
Apply an understanding of systems acquisition and systems and subsystems level hardware and software integration systems requirements analysis and allocation computer systems architecture and systems and subsystems testing and evaluation.
Apply knowledge in software assurance practices and tools to include architecture and design analysis tools origin analyzers source code weakness analyzers and binary analyzers.
Assist in reviewing developing and updating applicable program documentation for software engineering relevant requirements.
Support the development of the software development strategy and Software Development Plan (SDP).
Apply an understanding of aeronautical vehicle systems and/or airborne or related ground systems avionics operational flight program capabilities to support the core engineering tasks as they relate to software engineering.
May advise hardware design engineers on machine characteristics that affect software systems.
May provide input for documentation of new or existing programs.
Required Qualifications
ABET accredited Bachelor's degree (or higher) in engineering or computer science
Minimum of 4 years of experience in the respective technical/professional discipline being performed
U.S. Citizenship required; must be able to obtain/maintain a Secret security clearance
Ability to work independently as well as in a group
Ability to interpret schematics for design implementations
Preferred Qualifications
Knowledge of MIL-HDBK-516C Airworthiness Certification Program highly desired"
Hubbell Inc,Senior Firmware Engineer,"Responsible for the design development and manufacturing support of embedded firmware on a new Electric Vehicle product that Hubbell is developing and supporting products associated with Smart Infrastructure Solutions including areas such as AMI and Utility/Distribution Automation.
Duties and Responsibilities
Firmware design coding test and documentation for microcontroller-based products
Help develop functional specifications and requirements documentation for new products.
Contribute cost estimates and schedules for development tasks.
Develop unit and integration test methods to ensure system meets requirement. Create present and publish test reports.
Participate in development and maintenance of structured product development processes.
Help establish and follow proper design processes for high reliability firmware
Analyze and resolve field problems. Perform root cause analysis and determine effect preventive action(s).
Support the work of other engineers on project teams.
Participate in technical reviews of the work performed by the group
Participate in the development of project plans including reviewing and evaluating code and other deliverables produced by the team from concept to product launch.
Serve as lead developer when necessary.
Other duties as assigned by management.
Skills and Experience
REQUIRED:
Minimum of a Bachelor of Science in Computer Engineering Electrical Engineering or Computer Science.
Minimum of 5 years’ aggregate Engineering experience (graduate thesis work included as experience).
Minimum of 5 years’ experience in analysis design coding and testing C code for embedded systems.
Strong understanding of hardware interfaces.
Advanced debugging/troubleshooting techniques including use of Logic Analyzers Oscilloscopes Function Generators...
Source code control and defect tracking systems experience (GIT etc.)
Static source code analysis experience.
Work equally well independently and at the direction of others.
PREFERRED:
Python Language Development Experience
Experience in developing design documentation (requirements flowcharts data flow diagrams state transition diagrams etc.).
Experience with MSP430 ARM and/or PIC microprocessors.
Experience with ThreadX Freescale MQX Micrium FreeRTOS or other RTOS(s).
Experience w/ Security applied to Embedded Devices
Experience using static source code analysis tools/methods.
Perform formal Root-Cause Analysis to troubleshoot and resolve top issues
Ability to develop support applications for test automation utilities etc.
Project estimation/tracking experience.
Advanced engineering degree.
Experience in the utility industry.
Experience with Agile development
Experience with Azure Dev Ops
Hubbell Incorporated its subsidiaries and affiliates is an EO Employer AA: M/F/Veteran/Disability. All qualified applicants will receive consideration for employment without regard to race color religion sex national origin disability protected veteran status sexual orientation gender identity or any other protected class."
